,Baker,1,2,3,4,5[a],6[b],7,8,9,10,,season
1,Nancy,Baker was the Star Baker.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the series winner.,,5
2,Luis,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was the Star Baker.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was the series runner-up.,,5
3,Richard,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was the Star Baker.,Baker got through to the next round.,Baker was the Star Baker.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was the Star Baker.,Baker was the Star Baker.,Baker was the Star Baker.,Baker was the series runner-up.,,5
4,Chetna,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker was the Star Baker.,Baker got through to the next round.,Baker got through to the next round.,Baker was eliminated.,out,,5
5,Martha,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,,5
6,Kate,Baker got through to the next round.,Baker got through to the next round.,"Baker was one of the judges' favourite bakers that week, but was not the Star Baker.","Baker was one of the judges' favourite bakers that week, but was not the Star Baker.",Baker was the Star Baker.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,,5
7,Norman,Baker got through to the next round.,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.","Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker was eliminated.,out,out,out,out,out,,5
8,Diana,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker got through to the next round.,Baker withdrew from the show.,out,out,out,out,out,,5
9,Iain,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,,5
10,Jordan,"Baker was one of the judges' least favourite bakers that week, but was not eliminated.",Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,,5
11,Enwezor,Baker got through to the next round.,Baker was eliminated.,out,out,out,out,out,out,out,out,,5
12,Claire,Baker was eliminated.,out,out,out,out,out,out,out,out,out,,5
